district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,184573.0,163191.0,747774.0,Dem,21382.0,6.148422493415075
1,293156.0,50399.0,745634.0,Dem,242757.0,70.66030184395512
2,94573.0,156492.0,627446.0,GOP,-61919.0,-24.662537589867163
3,263356.0,93139.0,1167064.0,Dem,170217.0,47.74737373595703
4,39602.0,139099.0,406131.0,GOP,-99497.0,-55.677920101174585
5,298658.0,178936.0,1101563.0,Dem,119722.0,25.06773535680934
6,244164.0,190130.0,900776.0,Dem,54034.0,12.441802097196831
7,212885.0,197444.0,891611.0,Dem,15441.0,3.7630779204004594
8,114313.0,341384.0,990000.0,GOP,-227071.0,-49.82938224302552
9,226573.0,68896.0,736271.0,Dem,157677.0,53.36498922052737
10,140361.0,326356.0,1092310.0,GOP,-185995.0,-39.851773130183815
11,79600.0,114493.0,435947.0,GOP,-34893.0,-17.977464411390415
12,219069.0,37007.0,831920.0,Dem,182062.0,71.0968618691326
13,162990.0,112809.0,647898.0,Dem,50181.0,18.194772279812472
14,40241.0,148243.0,456537.0,GOP,-108002.0,-57.3003544067401
15,68031.0,99829.0,371632.0,GOP,-31798.0,-18.9431669248183
16,147024.0,99537.0,660272.0,Dem,47487.0,19.259736941365425
