district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,342565.0,58706.0,401271.0,Dem,283859.0,70.73997373346192
1,139941.0,257879.0,397820.0,GOP,-117938.0,-29.646071087426474
2,243861.0,132337.0,376198.0,Dem,111524.0,29.645027352617504
3,63712.0,70022.0,133734.0,GOP,-6310.0,-4.718321444060598
4,115065.0,311745.0,426810.0,GOP,-196680.0,-46.081394531524566
5,47426.0,62614.0,110040.0,GOP,-15188.0,-13.802253725917849
6,150126.0,211341.0,361467.0,GOP,-61215.0,-16.9351559063483
7,244164.0,190130.0,434294.0,Dem,54034.0,12.441802097196831
8,375875.0,310253.0,686128.0,Dem,65622.0,9.56410465685703
9,158363.0,235769.0,394132.0,GOP,-77406.0,-19.639613124536957
10,23096.0,88987.0,112083.0,GOP,-65891.0,-58.78768412694164
11,59345.0,66734.0,126079.0,GOP,-7389.0,-5.860611204086327
12,373597.0,168433.0,542030.0,Dem,205164.0,37.85104145527
13,352291.0,93367.0,445658.0,Dem,258924.0,58.09925997065014
14,84558.0,35915.0,120473.0,Dem,48643.0,40.37668191212968
15,16439.0,66075.0,82514.0,GOP,-49636.0,-60.15464042465521
16,38745.0,157077.0,195822.0,GOP,-118332.0,-60.42834819376781
