district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,208398.0,108064.0,753708.0,Dem,100334.0,31.704912438144234
1,195777.0,94004.0,753639.0,Dem,101773.0,35.120660084684644
2,174825.0,84987.0,753497.0,Dem,89838.0,34.57807953443259
3,139343.0,56323.0,753626.0,Dem,83020.0,42.429446096920266
4,251025.0,112931.0,753701.0,Dem,138094.0,37.94249854378002
5,196647.0,166116.0,753727.0,Dem,30531.0,8.416238701300848
6,222408.0,44598.0,753559.0,Dem,177810.0,66.59400912339049
7,172920.0,130148.0,753999.0,Dem,42772.0,14.113004342259822
8,231722.0,107106.0,753693.0,Dem,124616.0,36.778542505341946
9,196358.0,131025.0,753676.0,Dem,65333.0,19.956137001615843
10,199825.0,159630.0,753531.0,Dem,40195.0,11.182206395793633
11,94875.0,272754.0,753593.0,GOP,-177879.0,-48.38546469402577
12,191339.0,137917.0,753693.0,Dem,53422.0,16.22506499501907
13,183446.0,149464.0,753681.0,Dem,33982.0,10.20756360577934
14,0.0,308825.0,753506.0,GOP,-308825.0,-100.0
15,0.0,310925.0,753638.0,GOP,-310925.0,-100.0
16,170261.0,142567.0,752319.0,Dem,27694.0,8.852788113595969
