district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,59704.0,210544.0,630655.0,GOP,-150840.0,-55.81539918889317
1,124966.0,223378.0,741673.0,GOP,-98412.0,-28.251383689686055
2,92078.0,245629.0,806290.0,GOP,-153551.0,-45.46870512011892
3,264150.0,119950.0,898672.0,Dem,144200.0,37.542306690965894
4,185602.0,53015.0,822851.0,Dem,132587.0,55.56477535129517
5,192310.0,205608.0,866397.0,GOP,-13298.0,-3.3418945611909994
6,160609.0,28411.0,565481.0,Dem,132198.0,69.93863083271611
7,192530.0,146452.0,794416.0,Dem,46078.0,13.593052138461628
8,78939.0,176818.0,560317.0,GOP,-97879.0,-38.27031127202775
9,211101.0,148679.0,839179.0,Dem,62422.0,17.350047251097894
10,154306.0,148274.0,645887.0,Dem,6032.0,1.993522374248133
11,102904.0,212040.0,747274.0,GOP,-109136.0,-34.65250965250965
12,216427.0,115292.0,865540.0,Dem,101135.0,30.488154130453786
13,237547.0,177450.0,853672.0,Dem,60097.0,14.481309503442194
14,108540.0,194929.0,727089.0,GOP,-86389.0,-28.467158095225543
15,210700.0,44871.0,569861.0,Dem,165829.0,64.88568734324318
16,236756.0,66044.0,875532.0,Dem,170712.0,56.3778071334214
