district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,201452.0,148890.0,793875.0,Dem,52562.0,15.003054158507972
1,250655.0,150699.0,911340.0,Dem,99956.0,24.90469759862864
2,127957.0,167816.0,657473.0,GOP,-39859.0,-13.476213176997224
3,231027.0,167968.0,859053.0,Dem,63059.0,15.804458702490006
4,150425.0,224171.0,829775.0,GOP,-73746.0,-19.686809255838288
5,97865.0,227309.0,788654.0,GOP,-129444.0,-39.80761069458198
6,234048.0,49673.0,648807.0,Dem,184375.0,64.98461516771758
7,220211.0,63288.0,808195.0,Dem,156923.0,55.352223464633035
8,177187.0,66291.0,768023.0,Dem,110896.0,45.546620228521675
9,163823.0,74455.0,598770.0,Dem,89368.0,37.50577057051008
10,88199.0,149261.0,536804.0,GOP,-61062.0,-25.71464667733513
11,127615.0,240727.0,787863.0,GOP,-113112.0,-30.708417720488022
12,159661.0,160442.0,798892.0,GOP,-781.0,-0.2439839676604093
13,60601.0,186727.0,532474.0,GOP,-126126.0,-50.995439254754814
14,221881.0,146920.0,809827.0,Dem,74961.0,20.325595646432628
15,233503.0,45478.0,887441.0,Dem,188025.0,67.39706288241851
16,83059.0,247269.0,793520.0,GOP,-164210.0,-49.711196144438254
