district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,201452.0,148890.0,793875.0,Dem,52562.0,15.003054158507972
1,215512.0,118738.0,745421.0,Dem,96774.0,28.952580403889307
2,130178.0,215936.0,781917.0,GOP,-85758.0,-24.777385485707022
3,226400.0,166235.0,828778.0,Dem,60165.0,15.323391954359646
4,150113.0,223951.0,828846.0,GOP,-73838.0,-19.739402882929124
5,97865.0,227309.0,788654.0,GOP,-129444.0,-39.80761069458198
6,232974.0,51156.0,684643.0,Dem,181818.0,63.991130820399114
7,220211.0,63288.0,808195.0,Dem,156923.0,55.352223464633035
8,221652.0,54926.0,828303.0,Dem,166726.0,60.28172884321964
9,193882.0,119235.0,795306.0,Dem,74647.0,23.839970362516247
10,88199.0,149261.0,536804.0,GOP,-61062.0,-25.71464667733513
11,127615.0,240727.0,787863.0,GOP,-113112.0,-30.708417720488022
12,167778.0,126774.0,753390.0,Dem,41004.0,13.920801759960892
13,60601.0,186727.0,532474.0,GOP,-126126.0,-50.995439254754814
14,222887.0,147998.0,828319.0,Dem,74889.0,20.191973253164726
15,188791.0,28964.0,694478.0,Dem,159827.0,73.3976257720833
16,83059.0,247269.0,793520.0,GOP,-164210.0,-49.711196144438254
