district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,201097.0,148501.0,792331.0,Dem,52596.0,15.044708493755685
1,234056.0,130966.0,819689.0,Dem,103090.0,28.24213335086652
2,126985.0,213754.0,772732.0,GOP,-86769.0,-25.464945310046694
3,222294.0,164020.0,815155.0,Dem,58274.0,15.084620282982236
4,153870.0,220159.0,827290.0,GOP,-66289.0,-17.722957310796755
5,97865.0,227309.0,788654.0,GOP,-129444.0,-39.80761069458198
6,261645.0,89726.0,817351.0,Dem,171919.0,48.92805610024732
7,221892.0,67614.0,826203.0,Dem,154278.0,53.290087252077676
8,191235.0,41958.0,718910.0,Dem,149277.0,64.01435720626263
9,183521.0,113934.0,761499.0,Dem,69587.0,23.394126842715703
10,67503.0,116830.0,414250.0,GOP,-49327.0,-26.759722892808124
11,127615.0,240727.0,787863.0,GOP,-113112.0,-30.708417720488022
12,197081.0,131003.0,816788.0,Dem,66078.0,20.140573755501638
13,60601.0,186727.0,532474.0,GOP,-126126.0,-50.995439254754814
14,199820.0,147645.0,771810.0,Dem,52175.0,15.015900882103233
15,199030.0,29242.0,754267.0,Dem,169788.0,74.37968739048154
16,83059.0,247269.0,793520.0,GOP,-164210.0,-49.711196144438254
