unit_id,district
Albany-:-Albany Ward 1 ED 1,19
Albany-:-Albany Ward 1 ED 2,19
Albany-:-Albany Ward 1 ED 3,19
Albany-:-Albany Ward 1 ED 4,19
Albany-:-Albany Ward 1 ED 5,19
Albany-:-Albany Ward 1 ED 6,19
Albany-:-Albany Ward 2 ED 1,19
Albany-:-Albany Ward 2 ED 2,19
Albany-:-Albany Ward 2 ED 3,19
Albany-:-Albany Ward 2 ED 4,19
Albany-:-Albany Ward 2 ED 5,19
Albany-:-Albany Ward 2 ED 6,19
Albany-:-Albany Ward 3 ED 1,19
Albany-:-Albany Ward 3 ED 2,19
Albany-:-Albany Ward 3 ED 3,19
Albany-:-Albany Ward 3 ED 4,19
Albany-:-Albany Ward 4 ED 1,19
Albany-:-Albany Ward 4 ED 2,19
Albany-:-Albany Ward 4 ED 3,19
Albany-:-Albany Ward 4 ED 4,19
Albany-:-Albany Ward 4 ED 5,19
Albany-:-Albany Ward 4 ED 6,19
Albany-:-Albany Ward 5 ED 1,19
Albany-:-Albany Ward 5 ED 2,19
Albany-:-Albany Ward 5 ED 3,19
Albany-:-Albany Ward 5 ED 4,19
Albany-:-Albany Ward 6 ED 1,19
Albany-:-Albany Ward 6 ED 2,19
Albany-:-Albany Ward 6 ED 3,19
Albany-:-Albany Ward 6 ED 4,19
Albany-:-Albany Ward 6 ED 5,19
Albany-:-Albany Ward 6 ED 6,19
Albany-:-Albany Ward 7 ED 1,19
Albany-:-Albany Ward 7 ED 2,19
Albany-:-Albany Ward 7 ED 3,19
Albany-:-Albany Ward 7 ED 4,19
Albany-:-Albany Ward 7 ED 5,19
Albany-:-Albany Ward 7 ED 6,19
Albany-:-Albany Ward 8 ED 1,19
Albany-:-Albany Ward 8 ED 2,19
Albany-:-Albany Ward 8 ED 3,19
Albany-:-Albany Ward 8 ED 4,19
Albany-:-Albany Ward 8 ED 5,19
Albany-:-Albany Ward 8 ED 6,19
Albany-:-Albany Ward 9 ED 1,19
Albany-:-Albany Ward 9 ED 2,19
Albany-:-Albany Ward 9 ED 3,19
Albany-:-Albany Ward 9 ED 4,19
Albany-:-Albany Ward 9 ED 5,19
Albany-:-Albany Ward 9 ED 6,19
Albany-:-Albany Ward 9 ED 7,19
Albany-:-Albany Ward 9 ED 8,19
Albany-:-Albany Ward 10 ED 1,19
Albany-:-Albany Ward 10 ED 2,19
Albany-:-Albany Ward 10 ED 3,19
Albany-:-Albany Ward 10 ED 4,19
Albany-:-Albany Ward 10 ED 5,19
Albany-:-Albany Ward 10 ED 6,19
Albany-:-Albany Ward 10 ED 7,19
Albany-:-Albany Ward 11 ED 1,19
Albany-:-Albany Ward 11 ED 2,19
Albany-:-Albany Ward 11 ED 3,19
Albany-:-Albany Ward 11 ED 4,19
Albany-:-Albany Ward 11 ED 5,19
Albany-:-Albany Ward 11 ED 6,19
Albany-:-Albany Ward 12 ED 1,19
Albany-:-Albany Ward 12 ED 2,19
Albany-:-Albany Ward 12 ED 3,19
Albany-:-Albany Ward 12 ED 4,19
Albany-:-Albany Ward 12 ED 5,19
Albany-:-Albany Ward 12 ED 6,19
Albany-:-Albany Ward 13 ED 1,19
Albany-:-Albany Ward 13 ED 2,19
Albany-:-Albany Ward 13 ED 3,19
Albany-:-Albany Ward 13 ED 4,19
Albany-:-Albany Ward 13 ED 5,19
Albany-:-Albany Ward 14 ED 1,19
Albany-:-Albany Ward 14 ED 2,19
Albany-:-Albany Ward 14 ED 3,19
Albany-:-Albany Ward 14 ED 4,19
Albany-:-Albany Ward 14 ED 5,19
Albany-:-Albany Ward 14 ED 6,19
Albany-:-Albany Ward 14 ED 7,19
Albany-:-Albany Ward 14 ED 8,19
Albany-:-Albany Ward 15 ED 1,19
Albany-:-Albany Ward 15 ED 2,19
Albany-:-Albany Ward 15 ED 3,19
Albany-:-Albany Ward 15 ED 4,19
Albany-:-Albany Ward 15 ED 5,19
Albany-:-Berne 1,19
Albany-:-Berne 2,19
Albany-:-Bethlehem 1,19
Albany-:-Bethlehem 2,19
Albany-:-Bethlehem 3,19
Albany-:-Bethlehem 4,19
Albany-:-Bethlehem 5,19
Albany-:-Bethlehem 6,19
Albany-:-Bethlehem 7,19
Albany-:-Bethlehem 8,19
Albany-:-Bethlehem 9,19
Albany-:-Bethlehem 10,19
Albany-:-Bethlehem 11,19
Albany-:-Bethlehem 12,19
Albany-:-Bethlehem 13,19
Albany-:-Bethlehem 14,19
Albany-:-Bethlehem 15,19
Albany-:-Bethlehem 16,19
Albany-:-Bethlehem 17,19
Albany-:-Bethlehem 18,19
Albany-:-Bethlehem 19,19
Albany-:-Bethlehem 20,19
Albany-:-Bethlehem 21,19
Albany-:-Bethlehem 22,19
Albany-:-Bethlehem 23,19
Albany-:-Bethlehem 24,19
Albany-:-Bethlehem 25,19
Albany-:-Bethlehem 26,19
Albany-:-Bethlehem 27,19
Albany-:-Coeymans 1,19
Albany-:-Coeymans 2,19
Albany-:-Coeymans 3,19
Albany-:-Coeymans 4,19
Albany-:-Coeymans 5,19
Albany-:-Cohoes Ward 1 ED 1,19
Albany-:-Cohoes Ward 1 ED 2,19
Albany-:-Cohoes Ward 1 ED 3,19
Albany-:-Cohoes Ward 2 ED 1,19
Albany-:-Cohoes Ward 2 ED 2,19
Albany-:-Cohoes Ward 2 ED 3,19
Albany-:-Cohoes Ward 2 ED 4,19
Albany-:-Cohoes Ward 3 ED 1,19
Albany-:-Cohoes Ward 3 ED 2,19
Albany-:-Cohoes Ward 3 ED 3,19
Albany-:-Cohoes Ward 4 ED 1,19
Albany-:-Cohoes Ward 4 ED 2,19
Albany-:-Cohoes Ward 4 ED 3,19
Albany-:-Cohoes Ward 4 ED 4,19
Albany-:-Cohoes Ward 5 ED 1,19
Albany-:-Cohoes Ward 5 ED 2,19
Albany-:-Cohoes Ward 5 ED 3,19
Albany-:-Cohoes Ward 5 ED 4,19
Albany-:-Cohoes Ward 6 ED 1,19
Albany-:-Cohoes Ward 6 ED 2,19
Albany-:-Cohoes Ward 6 ED 3,19
Albany-:-Colonie 1,19
Albany-:-Colonie 2,19
Albany-:-Colonie 3,19
Albany-:-Colonie 4,19
Albany-:-Colonie 5,19
Albany-:-Colonie 6,19
Albany-:-Colonie 7,19
Albany-:-Colonie 8,19
Albany-:-Colonie 9,19
Albany-:-Colonie 10,19
Albany-:-Colonie 11,19
Albany-:-Colonie 12,19
Albany-:-Colonie 13,19
Albany-:-Colonie 14,19
Albany-:-Colonie 15,19
Albany-:-Colonie 16,19
Albany-:-Colonie 17,19
Albany-:-Colonie 18,19
Albany-:-Colonie 19,19
Albany-:-Colonie 20,19
Albany-:-Colonie 21,19
Albany-:-Colonie 22,19
Albany-:-Colonie 23,19
Albany-:-Colonie 24,19
Albany-:-Colonie 25,19
Albany-:-Colonie 26,19
Albany-:-Colonie 27,19
Albany-:-Colonie 28,19
Albany-:-Colonie 29,19
Albany-:-Colonie 30,19
Albany-:-Colonie 31,19
Albany-:-Colonie 32,19
Albany-:-Colonie 33,19
Albany-:-Colonie 34,19
Albany-:-Colonie 35,19
Albany-:-Colonie 36,19
Albany-:-Colonie 37,19
Albany-:-Colonie 38,19
Albany-:-Colonie 39,19
Albany-:-Colonie 40,19
Albany-:-Colonie 41,19
Albany-:-Colonie 42,19
Albany-:-Colonie 43,19
Albany-:-Green Island 1,19
Albany-:-Green Island 2,19
Albany-:-Guilderland 1,19
Albany-:-Guilderland 2,19
Albany-:-Guilderland 3,19
Albany-:-Guilderland 4,19
Albany-:-Guilderland 5,19
Albany-:-Guilderland 6,19
Albany-:-Guilderland 7,19
Albany-:-Guilderland 8,19
Albany-:-Guilderland 9,19
Albany-:-Guilderland 10,19
Albany-:-Guilderland 11,19
Albany-:-Guilderland 12,19
Albany-:-Guilderland 13,19
Albany-:-Guilderland 14,19
Albany-:-Guilderland 15,19
Albany-:-Guilderland 16,19
Albany-:-Guilderland 17,19
Albany-:-Guilderland 18,19
Albany-:-Guilderland 19,19
Albany-:-Guilderland 20,19
Albany-:-Guilderland 21,19
Albany-:-Guilderland 22,19
Albany-:-Guilderland 23,19
Albany-:-Guilderland 24,19
Albany-:-Guilderland 25,19
Albany-:-Knox 1,19
Albany-:-Knox 2,19
Albany-:-New Scotland 1,19
Albany-:-New Scotland 2,19
Albany-:-New Scotland 3,19
Albany-:-New Scotland 4,19
Albany-:-New Scotland 5,19
Albany-:-New Scotland 6,19
Albany-:-New Scotland 7,19
Albany-:-Rensselaerville 1,19
Albany-:-Rensselaerville 2,19
Albany-:-Rensselaerville 3,19
Albany-:-Watervliet 1,19
Albany-:-Watervliet 2,19
Albany-:-Watervliet 3,19
Albany-:-Watervliet 4,19
Albany-:-Watervliet 5,19
Albany-:-Watervliet 6,19
Albany-:-Westerlo 1,19
Albany-:-Westerlo 2,19
Allegany-:-Alfred 1,22
Allegany-:-Alfred 2,22
Allegany-:-Allen,22
Allegany-:-Alma,22
Allegany-:-Almond,22
Allegany-:-Amity 1,22
Allegany-:-Amity 2,22
Allegany-:-Andover 1,22
Allegany-:-Andover 2,22
Allegany-:-Angelica 1,22
Allegany-:-Angelica 2,22
Allegany-:-Belfast,22
Allegany-:-Birdsall,22
Allegany-:-Bolivar,22
Allegany-:-Burns,22
Allegany-:-Caneadea,22
Allegany-:-Centerville,22
Allegany-:-Clarksville,22
Allegany-:-Cuba 1,22
Allegany-:-Cuba 2,22
Allegany-:-Friendship,22
Allegany-:-Genesee,22
Allegany-:-Granger,22
Allegany-:-Grove,22
Allegany-:-Hume,22
Allegany-:-Independence,22
Allegany-:-New Hudson,22
Allegany-:-Rushford,22
Allegany-:-Scio,22
Allegany-:-Ward,22
Allegany-:-Wellsville 1,22
Allegany-:-Wellsville 2,22
Allegany-:-Wellsville 3,22
Allegany-:-Wellsville 4,22
Allegany-:-Wellsville 5,22
Allegany-:-West Almond,22
Allegany-:-Willing,22
Allegany-:-Wirt,22
Bronx-:-AD 77 ED 1,14
Bronx-:-AD 77 ED 2,14
Bronx-:-AD 77 ED 3,14
Bronx-:-AD 77 ED 4,14
Bronx-:-AD 77 ED 5,14
Bronx-:-AD 77 ED 6,14
Bronx-:-AD 77 ED 7,14
Bronx-:-AD 77 ED 8,14
Bronx-:-AD 77 ED 9,14
Bronx-:-AD 77 ED 10,14
Bronx-:-AD 77 ED 11,14
Bronx-:-AD 77 ED 12,14
Bronx-:-AD 77 ED 13,14
Bronx-:-AD 77 ED 14,14
Bronx-:-AD 77 ED 15,12
Bronx-:-AD 77 ED 16,14
Bronx-:-AD 77 ED 17,12
Bronx-:-AD 77 ED 18,12
Bronx-:-AD 77 ED 19,12
Bronx-:-AD 77 ED 20,12
Bronx-:-AD 77 ED 21,14
Bronx-:-AD 77 ED 22,14
Bronx-:-AD 77 ED 23,14
Bronx-:-AD 77 ED 24,14
Bronx-:-AD 77 ED 25,12
Bronx-:-AD 77 ED 26,14
Bronx-:-AD 77 ED 27,14
Bronx-:-AD 77 ED 28,14
Bronx-:-AD 77 ED 29,14
Bronx-:-AD 77 ED 30,14
Bronx-:-AD 77 ED 31,14
Bronx-:-AD 77 ED 32,14
Bronx-:-AD 77 ED 33,14
Bronx-:-AD 77 ED 34,14
Bronx-:-AD 77 ED 35,14
Bronx-:-AD 77 ED 36,14
Bronx-:-AD 77 ED 37,14
Bronx-:-AD 77 ED 38,14
Bronx-:-AD 77 ED 39,14
Bronx-:-AD 77 ED 40,14
Bronx-:-AD 77 ED 41,14
Bronx-:-AD 77 ED 42,14
Bronx-:-AD 77 ED 43,14
Bronx-:-AD 77 ED 44,14
Bronx-:-AD 77 ED 45,14
Bronx-:-AD 77 ED 46,14
Bronx-:-AD 77 ED 47,14
Bronx-:-AD 77 ED 48,14
Bronx-:-AD 77 ED 49,14
Bronx-:-AD 77 ED 50,14
Bronx-:-AD 77 ED 51,14
Bronx-:-AD 77 ED 52,14
Bronx-:-AD 77 ED 53,14
Bronx-:-AD 77 ED 54,14
Bronx-:-AD 77 ED 55,14
Bronx-:-AD 77 ED 56,14
Bronx-:-AD 77 ED 57,14
Bronx-:-AD 77 ED 58,14
Bronx-:-AD 77 ED 59,14
Bronx-:-AD 77 ED 60,14
Bronx-:-AD 77 ED 61,12
Bronx-:-AD 77 ED 62,12
Bronx-:-AD 77 ED 63,14
Bronx-:-AD 78 ED 1,14
Bronx-:-AD 78 ED 2,14
Bronx-:-AD 78 ED 3,14
Bronx-:-AD 78 ED 4,14
Bronx-:-AD 78 ED 5,14
Bronx-:-AD 78 ED 6,14
Bronx-:-AD 78 ED 7,14
Bronx-:-AD 78 ED 8,14
Bronx-:-AD 78 ED 9,14
Bronx-:-AD 78 ED 10,14
Bronx-:-AD 78 ED 11,14
Bronx-:-AD 78 ED 12,12
Bronx-:-AD 78 ED 13,12
Bronx-:-AD 78 ED 14,12
Bronx-:-AD 78 ED 15,14
Bronx-:-AD 78 ED 16,14
Bronx-:-AD 78 ED 17,12
Bronx-:-AD 78 ED 18,12
Bronx-:-AD 78 ED 19,12
Bronx-:-AD 78 ED 20,12
Bronx-:-AD 78 ED 21,12
Bronx-:-AD 78 ED 22,12
Bronx-:-AD 78 ED 23,12
Bronx-:-AD 78 ED 24,14
Bronx-:-AD 78 ED 25,14
Bronx-:-AD 78 ED 26,12
Bronx-:-AD 78 ED 27,12
Bronx-:-AD 78 ED 28,12
Bronx-:-AD 78 ED 29,12
Bronx-:-AD 78 ED 30,12
Bronx-:-AD 78 ED 31,12
Bronx-:-AD 78 ED 32,12
Bronx-:-AD 78 ED 33,12
Bronx-:-AD 78 ED 34,12
Bronx-:-AD 78 ED 35,12
Bronx-:-AD 78 ED 36,12
Bronx-:-AD 78 ED 37,12
Bronx-:-AD 78 ED 38,12
Bronx-:-AD 78 ED 39,12
Bronx-:-AD 78 ED 40,12
Bronx-:-AD 78 ED 41,12
Bronx-:-AD 78 ED 42,12
Bronx-:-AD 78 ED 43,12
Bronx-:-AD 78 ED 44,12
