district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,113406.0,153352.0,584449.0,GOP,-39946.0,-14.974621192241658
1,250648.0,43909.0,833164.0,Dem,206739.0,70.18641553247758
2,212711.0,212396.0,891001.0,Dem,315.0,0.07409899154801027
3,187664.0,173332.0,874036.0,Dem,14332.0,3.970127092820973
4,167651.0,57401.0,933224.0,Dem,110250.0,48.98867817215577
5,240151.0,32975.0,926987.0,Dem,207176.0,75.8536353184977
6,137213.0,154268.0,652061.0,GOP,-17055.0,-5.851153248410703
7,129725.0,169903.0,671231.0,GOP,-40178.0,-13.409294191464083
8,147058.0,100236.0,638603.0,Dem,46822.0,18.93373878864833
9,147477.0,118060.0,756971.0,Dem,29417.0,11.07830547155387
10,171650.0,193386.0,817084.0,GOP,-21736.0,-5.954481201854064
11,183585.0,259297.0,929590.0,GOP,-75712.0,-17.09529852195393
12,136530.0,31640.0,715340.0,Dem,104890.0,62.37140988285663
13,240922.0,196795.0,945012.0,Dem,44127.0,10.081171167672263
14,166456.0,87610.0,830799.0,Dem,78846.0,31.03366841686806
15,156703.0,65235.0,746044.0,Dem,91468.0,41.21331182582523
16,106113.0,111677.0,652380.0,GOP,-5564.0,-2.5547545801000964
17,228404.0,245085.0,953899.0,GOP,-16681.0,-3.522996310368351
18,170984.0,47349.0,623361.0,Dem,123635.0,56.6268040103878
19,210611.0,175312.0,726174.0,Dem,35299.0,9.146643242304812
20,144983.0,66421.0,833571.0,Dem,78562.0,37.162021532232124
21,209309.0,163302.0,810774.0,Dem,46007.0,12.347193185386368
22,196041.0,161483.0,836315.0,Dem,34558.0,9.66592452534655
23,155127.0,182089.0,665213.0,GOP,-26962.0,-7.995468779654584
24,205960.0,115415.0,758629.0,Dem,90545.0,28.17425126409957
25,109795.0,47531.0,595170.0,Dem,62264.0,39.576420934874086
