district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,113745.0,153287.0,585320.0,GOP,-39542.0,-14.807963090565925
1,250648.0,43909.0,833164.0,Dem,206739.0,70.18641553247758
2,185798.0,187796.0,801540.0,GOP,-1998.0,-0.5348051628238141
3,183481.0,159220.0,833499.0,Dem,24261.0,7.079349053548137
4,141802.0,50311.0,816806.0,Dem,91491.0,47.62353406588831
5,221197.0,21069.0,816371.0,Dem,200128.0,82.6067215374836
6,141616.0,168668.0,693453.0,GOP,-27052.0,-8.718464374572973
7,147268.0,195088.0,758019.0,GOP,-47820.0,-13.967916437860007
8,172299.0,103435.0,754803.0,Dem,68864.0,24.97479454836908
9,147477.0,118060.0,756971.0,Dem,29417.0,11.07830547155387
10,171091.0,193163.0,815358.0,GOP,-22072.0,-6.059507925788049
11,166042.0,234112.0,842802.0,GOP,-68070.0,-17.010950783948182
12,136530.0,31640.0,715340.0,Dem,104890.0,62.37140988285663
13,211255.0,168752.0,826652.0,Dem,42503.0,11.18479396432171
14,166456.0,87610.0,830799.0,Dem,78846.0,31.03366841686806
15,156703.0,65235.0,746044.0,Dem,91468.0,41.21331182582523
16,131931.0,158363.0,778757.0,GOP,-26432.0,-9.105251917022054
17,202586.0,198399.0,827522.0,Dem,4187.0,1.0441787099268054
18,196833.0,54439.0,739779.0,Dem,142394.0,56.66926677067082
19,208569.0,171961.0,716607.0,Dem,36608.0,9.62026647044911
20,144983.0,66421.0,833571.0,Dem,78562.0,37.162021532232124
21,209309.0,163302.0,810774.0,Dem,46007.0,12.347193185386368
22,196739.0,161866.0,837870.0,Dem,34873.0,9.724627375524603
23,184794.0,210132.0,783573.0,GOP,-25338.0,-6.415885507664727
24,208976.0,139784.0,739902.0,Dem,69192.0,19.83943112742287
25,128749.0,59437.0,705786.0,Dem,69312.0,36.83164528710956
