district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,32261.0,315994.0,790563.0,GOP,-283733.0,-81.47277138878121
1,21334.0,45919.0,147774.0,GOP,-24585.0,-36.55599006735759
2,32415.0,278352.0,716308.0,GOP,-245937.0,-79.13871163926672
3,201583.0,104197.0,797229.0,Dem,97386.0,31.848387729740335
4,186881.0,187937.0,796905.0,GOP,-1056.0,-0.2817367362293166
5,162584.0,188721.0,797332.0,GOP,-26137.0,-7.439973811929805
6,164526.0,195839.0,797456.0,GOP,-31313.0,-8.689245625962567
7,197417.0,122216.0,796476.0,Dem,75201.0,23.527295366873883
8,205901.0,123973.0,796213.0,Dem,81928.0,24.83614956013508
9,205624.0,110760.0,797638.0,Dem,94864.0,29.98381713360979
10,227690.0,136341.0,797082.0,Dem,91349.0,25.093742016476618
11,207397.0,158556.0,797172.0,Dem,48841.0,13.346249381751207
12,228369.0,105608.0,796299.0,Dem,122761.0,36.75732161196729
13,220818.0,88611.0,796839.0,Dem,132207.0,42.72611810786965
14,178403.0,119542.0,795921.0,Dem,58861.0,19.75565960160432
15,164376.0,126405.0,796799.0,Dem,37971.0,13.058280974341516
16,191590.0,108413.0,796780.0,Dem,83177.0,27.72538941277254
