district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,234372.0,40215.0,791065.0,Dem,194157.0,70.70873712156803
1,174602.0,109841.0,718476.0,Dem,64761.0,22.767654679496417
2,270311.0,68340.0,717042.0,Dem,201971.0,59.639865229986036
3,161046.0,81138.0,790983.0,Dem,79908.0,32.99474779506491
4,139245.0,173874.0,790981.0,GOP,-34629.0,-11.059373592787408
5,202259.0,104408.0,717417.0,Dem,97851.0,31.907900100108588
6,128838.0,146691.0,714718.0,GOP,-17853.0,-6.479535729451347
7,173025.0,175431.0,790576.0,GOP,-2406.0,-0.6904745505888835
8,167223.0,176177.0,790737.0,GOP,-8954.0,-2.607454863133372
9,202453.0,103153.0,718763.0,Dem,99300.0,32.49281754939366
10,148136.0,150589.0,790727.0,GOP,-2453.0,-0.8211565821407649
11,111470.0,220934.0,722862.0,GOP,-109464.0,-32.931011660509505
12,121881.0,202391.0,715598.0,GOP,-80510.0,-24.827922238121083
13,60384.0,261419.0,715750.0,GOP,-201035.0,-62.47144992433259
14,160285.0,168693.0,743952.0,GOP,-8408.0,-2.5557940044623044
15,175714.0,173782.0,790300.0,Dem,1932.0,0.5527960262778401
16,197925.0,160308.0,790839.0,Dem,37617.0,10.500707639999666
