district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,131942.0,283689.0,882260.0,GOP,-151747.0,-36.51002932889991
1,180116.0,113135.0,623951.0,Dem,66981.0,22.840842827475438
2,97076.0,274314.0,853041.0,GOP,-177238.0,-47.7228789143488
3,232047.0,150969.0,865825.0,Dem,81078.0,21.16830628485494
4,299808.0,87844.0,936659.0,Dem,211964.0,54.678938842054215
5,236310.0,155373.0,956871.0,Dem,80937.0,20.66390422867472
6,202053.0,49794.0,901354.0,Dem,152259.0,60.45694409701128
7,93364.0,104359.0,445397.0,GOP,-10995.0,-5.560809819798405
8,229745.0,43778.0,834431.0,Dem,185967.0,67.98952921692143
9,249428.0,142250.0,940586.0,Dem,107178.0,27.363803940992348
10,197457.0,176111.0,805958.0,Dem,21346.0,5.714086859688196
11,90961.0,112555.0,448730.0,GOP,-21594.0,-10.610467973034062
12,137607.0,232980.0,885911.0,GOP,-95373.0,-25.735657214095475
13,98085.0,115271.0,467111.0,GOP,-17186.0,-8.055081647574944
14,105454.0,241958.0,819657.0,GOP,-136504.0,-39.29167674116035
15,100006.0,166417.0,565312.0,GOP,-66411.0,-24.9269019566629
16,147710.0,66587.0,577732.0,Dem,81123.0,37.855406281935814
