district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,171684.0,153455.0,753643.0,Dem,18229.0,5.606525209218211
1,233975.0,116217.0,756582.0,Dem,117758.0,33.626696212363505
2,135516.0,205036.0,755113.0,GOP,-69520.0,-20.41391623012051
3,203692.0,154359.0,754827.0,Dem,49333.0,13.778204780883172
4,169881.0,169737.0,754486.0,Dem,144.0,0.042400579474586156
5,94295.0,218591.0,753373.0,GOP,-124296.0,-39.72565087603792
6,244949.0,84650.0,754216.0,Dem,160299.0,48.63455289609495
7,224813.0,52613.0,777203.0,Dem,172200.0,62.07060621571158
8,169162.0,37753.0,755284.0,Dem,131409.0,63.50868714206317
9,183508.0,88458.0,754864.0,Dem,95050.0,34.949221593875706
10,153240.0,152932.0,754987.0,Dem,308.0,0.10059705002416941
11,128199.0,219952.0,751542.0,GOP,-91753.0,-26.35436922484784
12,178731.0,161639.0,753641.0,Dem,17092.0,5.0215941475453185
13,75571.0,252664.0,713292.0,GOP,-177093.0,-53.95311286121224
14,189883.0,162028.0,755088.0,Dem,27855.0,7.915353597926749
15,201801.0,42837.0,755240.0,Dem,158964.0,64.97927550094425
16,70269.0,244463.0,757405.0,GOP,-174194.0,-55.346771221229496
