district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,184197.0,143667.0,755279.0,Dem,40530.0,12.361832955127735
1,232510.0,116618.0,754585.0,Dem,115892.0,33.19470222955478
2,126170.0,208088.0,756091.0,GOP,-81918.0,-24.50741642683197
3,204774.0,149154.0,759859.0,Dem,55620.0,15.715060690309892
4,140743.0,207448.0,771512.0,GOP,-66705.0,-19.157588794655805
5,94482.0,212928.0,753179.0,GOP,-118446.0,-38.53030155167366
6,249145.0,86785.0,759975.0,Dem,162360.0,48.33149763343554
7,209046.0,51679.0,754794.0,Dem,157367.0,60.35746476172213
8,183581.0,38064.0,754413.0,Dem,145517.0,65.65318414581877
9,185657.0,94946.0,761530.0,Dem,90711.0,32.32716685138791
10,153544.0,206501.0,816371.0,GOP,-52957.0,-14.708439222874919
11,125583.0,224331.0,752201.0,GOP,-98748.0,-28.2206485022034
12,177169.0,129572.0,754261.0,Dem,47597.0,15.516999683772303
13,68676.0,225444.0,626900.0,GOP,-156768.0,-53.300693594451246
14,210225.0,141010.0,755395.0,Dem,69215.0,19.70617962332911
15,202953.0,42495.0,755278.0,Dem,160458.0,65.37352107167303
16,80714.0,238654.0,769163.0,GOP,-157940.0,-49.45392149495253
