district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,183540.0,226285.0,776971.0,GOP,-42745.0,-10.430061611663515
1,136371.0,202597.0,776971.0,GOP,-66226.0,-19.537537466663522
2,187651.0,174694.0,776971.0,Dem,12957.0,3.5758738219100583
3,191794.0,183168.0,776926.0,Dem,8626.0,2.30049978397811
4,168425.0,62529.0,777016.0,Dem,105896.0,45.85155485507937
5,120205.0,74559.0,776972.0,Dem,45646.0,23.436569386539606
6,172795.0,48435.0,776972.0,Dem,124360.0,56.212991004836596
7,168036.0,54863.0,776971.0,Dem,113173.0,50.77322015800878
8,173207.0,60064.0,776971.0,Dem,113143.0,48.50281432325493
9,206206.0,37555.0,776972.0,Dem,168651.0,69.18703155960141
10,93586.0,167099.0,776971.0,GOP,-73513.0,-28.199934787195275
11,260165.0,62989.0,776971.0,Dem,197176.0,61.01610996614617
12,181800.0,35822.0,776971.0,Dem,145978.0,67.07869608771172
13,132714.0,59078.0,776970.0,Dem,73636.0,38.39367648285643
14,130392.0,36010.0,777013.0,Dem,94382.0,56.71927020107932
15,217668.0,86408.0,776930.0,Dem,131260.0,43.16683986898012
16,173902.0,197845.0,777049.0,GOP,-23943.0,-6.440670671182283
17,207106.0,155129.0,776925.0,Dem,51977.0,14.3489723522023
18,192647.0,184290.0,776921.0,Dem,8357.0,2.2170813690351436
19,221997.0,141151.0,776927.0,Dem,80846.0,22.262548602773524
20,131929.0,216507.0,777097.0,GOP,-84578.0,-24.27361122272096
21,194450.0,161939.0,776832.0,Dem,32511.0,9.122335425616392
22,128651.0,247599.0,776859.0,GOP,-118948.0,-31.614086378737543
23,123334.0,235877.0,777017.0,GOP,-112543.0,-31.330610699560985
24,219175.0,141195.0,776957.0,Dem,77980.0,21.638871160196466
25,209131.0,111772.0,776959.0,Dem,97359.0,30.339074424358763
