district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,144511.0,182551.0,729818.0,GOP,-38040.0,-11.630822290574876
1,243353.0,42576.0,805598.0,Dem,200777.0,70.21918028601506
2,179076.0,179114.0,778342.0,GOP,-38.0,-0.010608894720678969
3,162419.0,162515.0,776778.0,GOP,-96.0,-0.029544461336763774
4,138013.0,49178.0,788161.0,Dem,88835.0,47.456875597651596
5,195063.0,24870.0,776770.0,Dem,170193.0,77.38402149745605
6,174651.0,175762.0,775815.0,GOP,-1111.0,-0.317054447180898
7,172025.0,204521.0,789843.0,GOP,-32496.0,-8.630021298858573
8,163707.0,107667.0,807423.0,Dem,56040.0,20.650467620332087
9,155031.0,117336.0,776416.0,Dem,37695.0,13.839782352487637
10,158140.0,164178.0,720086.0,GOP,-6038.0,-1.8733052451305854
11,147481.0,211444.0,778092.0,GOP,-63963.0,-17.820714633976458
12,164086.0,40014.0,803295.0,Dem,124072.0,60.789808917197455
13,180514.0,180522.0,776323.0,GOP,-8.0,-0.0022158455112509553
14,159933.0,78379.0,776610.0,Dem,81554.0,34.22152472389136
15,170344.0,62495.0,778120.0,Dem,107849.0,46.31913038623255
16,144979.0,152441.0,775538.0,GOP,-7462.0,-2.508909958980566
17,185534.0,186990.0,776790.0,GOP,-1456.0,-0.39084730111348537
18,224154.0,67241.0,778326.0,Dem,156913.0,53.84889926045402
19,223197.0,187012.0,776443.0,Dem,36185.0,8.821113139887228
20,112719.0,67267.0,769403.0,Dem,45452.0,25.253075239185268
21,203712.0,157041.0,776403.0,Dem,46671.0,12.937106552128464
22,175480.0,153949.0,777064.0,Dem,21531.0,6.535854463328972
23,189021.0,189099.0,776333.0,GOP,-78.0,-0.020628371945414153
24,215730.0,156889.0,776994.0,Dem,58841.0,15.791196906223245
25,144004.0,64408.0,780298.0,Dem,79596.0,38.191658829625936
